Week End Date,Honolulu,Kaneohe,Waipahu,OAHU,Hilo,Kona,HAWAII,Wailuku,Molokai,MAUI,KAUAI,Agent *,STATE
1/4/2020,310,150,631,1091,237,141,378,223,14,237,98,29,1833
1/11/2020,336,153,615,1104,220,124,344,250,18,268,98,24,1838
1/18/2020,242,77,458,777,101,88,189,161,5,166,89,25,1246
1/25/2020,220,66,364,650,71,74,145,136,1,137,72,18,1022
2/1/2020,264,76,410,750,81,52,133,159,1,160,75,23,1141
2/8/2020,237,83,416,736,90,80,170,156,4,160,58,25,1149
2/15/2020,263,89,452,804,87,75,162,159,5,164,57,25,1212
2/22/2020,223,80,369,672,90,64,154,128,9,137,46,18,1027
2/29/2020,229,86,395,710,97,68,165,112,1,113,48,19,1055
3/7/2020,328,109,429,866,129,67,196,133,5,138,63,18,1281
3/14/2020,502,106,500,1108,123,94,217,165,1,166,84,20,1595
3/21/2020,2404,497,1936,4837,466,553,1019,2203,10,2213,698,56,8823
3/28/2020,13765,2487,10768,27020,2508,3959,6467,10849,84,10933,4037,182,48639
4/4/2020,15852,3086,12020,30958,2760,4303,7063,10274,120,10394,4476,220,53111
4/11/2020,11413,2041,8094,21548,1715,2669,4384,5902,94,5996,2589,206,34723
1/5/2019,307,140,703,1150,262,134,396,230,22,252,105,26,1929
1/12/2019,331,105,592,1028,248,126,374,225,19,244,113,33,1792
1/19/2019,268,90,432,790,99,71,170,148,9,157,83,27,1227
1/26/2019,217,85,394,696,87,85,172,135,9,144,63,27,1102
2/2/2019,269,109,404,782,144,103,247,164,11,175,68,23,1295
2/9/2019,233,76,451,760,114,67,181,145,2,147,65,29,1182
2/16/2019,236,99,406,741,118,60,178,149,7,156,64,22,1161
2/23/2019,216,74,450,740,88,77,165,198,6,204,81,20,1210
3/2/2019,299,98,435,832,112,93,205,131,10,141,82,30,1290
3/9/2019,256,80,389,725,99,84,183,122,7,129,89,25,1151
3/16/2019,257,90,394,741,98,85,183,135,7,142,79,19,1164
3/23/2019,225,76,350,651,100,85,185,135,6,141,69,18,1064
3/30/2019,252,80,349,681,240,97,337,169,13,182,47,11,1258
4/6/2019,280,111,432,823,133,78,211,150,8,158,71,36,1299
4/13/2019,270,79,395,744,126,69,195,113,4,117,69,16,1141
4/20/2019,212,88,338,638,100,82,182,94,4,98,56,24,998
4/27/2019,283,107,449,839,128,86,214,117,15,132,69,26,1280
5/4/2019,253,77,399,729,130,68,198,124,7,131,56,24,1138
5/11/2019,270,83,419,772,156,88,244,123,9,132,70,26,1244
5/18/2019,290,88,441,819,102,82,184,163,10,173,58,22,1256
5/25/2019,236,68,428,732,152,111,263,123,5,128,74,18,1215
6/1/2019,211,83,353,647,103,70,173,105,5,110,42,29,1001
6/8/2019,318,134,524,976,194,113,307,173,9,182,83,28,1576
6/15/2019,230,80,409,719,205,103,308,167,11,178,85,21,1311
6/22/2019,260,84,423,767,216,93,309,117,13,130,63,25,1294
6/29/2019,245,83,385,713,123,73,196,99,8,107,55,24,1095
7/6/2019,277,110,599,986,160,74,234,120,8,128,83,18,1449
7/13/2019,307,86,453,846,148,91,239,120,8,128,94,21,1328
7/20/2019,241,74,369,684,110,77,187,103,6,109,71,22,1073
7/27/2019,207,94,408,709,100,76,176,113,2,115,59,16,1075
8/3/2019,268,89,339,696,124,91,215,133,8,141,63,37,1152
8/10/2019,245,80,422,747,141,77,218,153,8,161,82,26,1234
8/17/2019,224,72,361,657,107,70,177,98,3,101,54,28,1017
8/24/2019,228,71,432,731,99,89,188,135,2,137,69,20,1145
8/31/2019,246,68,347,661,117,70,187,116,6,122,71,28,1069
9/7/2019,234,88,384,706,91,79,170,128,1,129,63,22,1090
9/14/2019,242,78,401,721,102,108,210,124,5,129,72,20,1152
9/21/2019,197,58,328,583,71,79,150,131,2,133,63,18,947
9/28/2019,220,69,362,651,76,79,155,136,4,140,67,32,1045
10/5/2019,300,95,453,848,90,89,179,158,7,165,63,28,1283
10/12/2019,275,75,381,731,108,91,199,115,4,119,87,24,1160
10/19/2019,246,88,374,708,221,114,335,170,14,184,64,17,1308
10/26/2019,253,79,358,690,114,68,182,149,5,154,76,30,1132
11/2/2019,184,75,322,581,113,86,199,84,5,89,82,18,969
11/9/2019,223,78,394,695,77,74,151,144,5,149,106,37,1138
11/16/2019,187,83,346,616,70,85,155,125,10,135,52,22,980
11/23/2019,213,85,389,687,129,72,201,127,6,133,77,34,1132
11/30/2019,181,71,342,594,73,77,150,117,3,120,85,21,970
12/7/2019,259,98,491,848,208,95,303,153,9,162,99,34,1446
12/14/2019,236,69,337,642,98,75,173,146,1,147,73,27,1062
12/21/2019,249,87,387,723,76,76,152,138,6,144,77,25,1121
12/28/2019,252,116,446,814,121,82,203,131,4,135,86,17,1255
